Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.46,.697,96,864,639,7812.0,3573,2604,927,42,77,.988,39,6,56,9
ATL,39,4.75,.688,97,873,694,7827.0,3571,2609,907,55,87,.985,-4,-1,21,1
BAL,48,6.14,.690,95,855,602,7542.0,3412,2514,826,72,86,.979,7,1,-70,-2
BOS,43,5.12,.672,96,864,679,7860.0,3530,2620,849,61,63,.983,-12,-2,-10,-2
CHC,42,4.39,.690,96,864,609,7710.0,3674,2570,1036,68,92,.981,29,5,10,2
CHW,43,5.36,.671,92,828,640,7149.0,3299,2383,843,73,97,.978,-15,-2,-35,-1
CIN,34,4.03,.692,93,837,576,7419.0,3369,2473,845,51,82,.985,-1,0,28,5
CLE,42,4.16,.696,94,846,674,7464.0,3325,2488,784,53,54,.984,16,3,20,1
COL,41,5.79,.671,96,864,667,7803.0,3703,2601,1045,57,97,.985,-3,-1,-24,-4
DET,45,5.58,.676,92,828,693,7311.0,3359,2437,858,64,69,.981,-51,-8,-37,-1
HOU,38,4.22,.721,97,873,649,7851.0,3459,2617,799,43,49,.988,33,5,26,1
KCR,40,5.12,.680,97,873,717,7665.0,3493,2555,899,39,95,.989,7,1,19,0
LAA,46,4.99,.699,97,873,652,7716.0,3435,2572,812,51,67,.985,4,1,-3,-1
LAD,39,3.86,.715,98,882,608,7863.0,3559,2621,872,66,65,.981,39,6,63,10
MIA,40,4.55,.697,93,837,600,7482.0,3351,2494,808,49,86,.985,-19,-3,5,0
MIL,39,4.95,.680,97,873,639,7902.0,3545,2634,855,56,81,.984,-11,-2,22,3
MIN,40,4.46,.692,94,846,667,7659.0,3447,2553,833,61,73,.982,28,4,41,6
NYM,45,5.09,.672,95,855,546,7611.0,3426,2537,822,67,71,.980,-47,-7,-57,-9
NYY,43,4.32,.686,93,837,662,7476.0,3366,2492,804,70,77,.979,1,0,-12,0
OAK,38,4.22,.712,97,873,709,7899.0,3547,2633,863,51,61,.986,13,2,3,0
PHI,43,5.02,.686,96,864,680,7686.0,3523,2562,904,57,74,.984,7,1,4,1
PIT,45,5.31,.672,95,855,624,7596.0,3458,2532,863,63,72,.982,-23,-4,-26,-1
SDP,41,4.92,.688,95,855,614,7620.0,3468,2540,861,67,58,.981,-2,0,8,0
SEA,55,6.03,.677,99,891,708,7890.0,3620,2630,894,96,89,.973,-29,-4,-60,-9
SFG,43,4.89,.686,96,864,653,7731.0,3539,2577,900,62,77,.982,2,0,33,5
STL,38,4.33,.706,94,846,620,7503.0,3483,2501,941,41,101,.988,25,4,31,5
TBR,43,3.69,.706,97,873,670,7932.0,3589,2644,896,49,84,.986,41,6,36,5
TEX,42,5.38,.670,96,864,684,7731.0,3433,2577,798,58,93,.983,-25,-4,-46,-1
TOR,45,5.21,.678,97,873,703,7704.0,3549,2568,925,56,84,.984,-3,0,-19,-3
WSN,42,4.55,.679,94,846,686,7485.0,3344,2495,793,56,66,.983,-18,-3,-31,-5
