Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.52,.696,104,936,693,8457.0,3860,2819,996,45,80,.988,36,5,57,1
ATL,40,4.73,.686,104,936,742,8394.0,3816,2798,961,57,96,.985,-5,-1,21,0
BAL,49,6.08,.692,103,927,646,8235.0,3718,2745,896,77,93,.979,8,1,-71,-2
BOS,43,5.08,.671,105,945,732,8562.0,3847,2854,929,64,69,.983,-14,-2,-19,0
CHC,43,4.37,.691,103,927,651,8289.0,3933,2763,1099,71,97,.982,30,4,13,2
CHW,44,5.25,.676,101,909,707,7878.0,3649,2626,944,79,109,.978,-11,-2,-36,-1
CIN,36,4.23,.689,101,909,622,8058.0,3662,2686,919,57,92,.984,-5,-1,33,5
CLE,42,4.04,.701,103,927,737,8244.0,3670,2748,866,56,66,.985,32,5,30,4
COL,43,5.81,.670,104,936,725,8406.0,3973,2802,1108,63,102,.984,-6,-1,-28,-4
DET,45,5.61,.675,100,900,753,8001.0,3674,2667,935,72,75,.980,-55,-8,-36,-5
HOU,38,4.10,.722,105,945,698,8508.0,3752,2836,867,49,52,.987,35,5,37,5
KCR,42,5.09,.678,105,945,773,8340.0,3807,2780,982,45,105,.988,7,1,14,2
ANA,47,5.05,.696,105,945,707,8418.0,3765,2806,902,57,75,.985,1,0,-8,0
LAD,39,3.83,.712,105,945,648,8421.0,3817,2807,934,76,70,.980,33,5,61,9
FLA,40,4.54,.699,101,909,659,8094.0,3604,2698,853,53,88,.985,-18,-3,9,1
MIL,39,4.99,.678,105,945,689,8541.0,3831,2847,925,59,90,.985,-12,-2,30,4
MIN,41,4.59,.685,103,927,729,8397.0,3780,2799,912,69,86,.982,20,3,27,1
NYM,45,4.92,.673,103,927,590,8340.0,3752,2780,899,73,83,.981,-47,-7,-56,-1
NYY,43,4.62,.683,103,927,735,8268.0,3710,2756,879,75,84,.980,1,0,-11,0
OAK,39,4.37,.711,106,954,768,8616.0,3880,2872,951,57,71,.985,21,3,5,0
PHI,45,4.91,.688,103,927,730,8316.0,3822,2772,988,62,81,.984,9,1,6,0
PIT,45,5.33,.677,103,927,675,8262.0,3767,2754,943,70,78,.981,-25,-4,-24,-3
SDP,43,4.83,.686,103,927,670,8244.0,3745,2748,923,74,66,.980,-7,-1,7,0
SEA,57,5.88,.681,107,963,758,8538.0,3919,2846,974,99,95,.975,-24,-3,-59,-8
SFG,45,4.78,.690,104,936,706,8532.0,3899,2844,990,65,87,.983,9,1,29,4
STL,38,4.35,.703,103,927,671,8232.0,3808,2744,1021,43,110,.989,23,3,35,5
TBD,44,3.76,.705,106,954,733,8661.0,3902,2887,963,52,90,.987,36,5,34,5
TEX,43,5.29,.671,104,936,746,8334.0,3694,2778,854,62,100,.983,-25,-4,-51,-1
TOR,47,5.10,.678,105,945,763,8352.0,3831,2784,987,60,91,.984,1,0,-18,-3
WSN,43,4.48,.678,103,927,754,8196.0,3649,2732,859,58,71,.984,-18,-3,-24,-1
