Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
ANA,41,4.90,.690,162,1458,1156,13092.0,6079,4364,1592,123,140,.980,21,2
ATL,38,3.59,.700,162,1458,993,13191.0,6180,4397,1669,114,136,.982,69,6
BAL,38,4.20,.699,162,1458,1087,13149.0,6145,4383,1665,97,148,.984,14,1
BOS,45,5.29,.674,162,1458,1151,13065.0,6186,4355,1696,135,179,.978,24,2
CHC,42,4.69,.692,162,1458,1067,12861.0,6004,4287,1605,112,117,.981,38,4
CHW,45,5.17,.688,161,1449,1069,12801.0,5833,4267,1439,127,131,.978,-26,-2
CIN,50,4.72,.697,162,1458,1029,13041.0,6029,4347,1576,106,129,.982,-13,-1
CLE,46,5.06,.680,161,1449,1148,12831.0,6111,4277,1728,106,159,.983,7,1
COL,42,5.60,.667,162,1458,1079,12894.0,6355,4298,1946,111,202,.983,-1,0
DET,43,4.88,.698,162,1458,1121,13011.0,6149,4337,1720,92,146,.985,-59,-5
FLA,43,4.13,.692,162,1458,1058,13020.0,6106,4340,1650,116,167,.981,-5,0
HOU,41,4.07,.693,162,1458,1094,13131.0,6382,4377,1874,131,169,.979,64,6
KCR,50,5.09,.691,161,1449,1083,12987.0,6050,4329,1630,91,168,.985,53,5
LAD,42,3.98,.706,162,1458,1106,13134.0,6057,4378,1563,116,104,.981,-37,-3
MIL,44,4.61,.695,161,1449,1008,12846.0,6058,4282,1655,121,171,.980,50,5
MIN,38,5.31,.681,162,1458,1111,12906.0,6097,4302,1694,101,170,.983,-7,-1
WSN,41,4.57,.696,162,1458,1113,13023.0,6170,4341,1697,132,150,.979,22,2
NYM,45,4.38,.697,162,1458,988,13134.0,6379,4378,1881,120,165,.981,44,4
NYY,40,4.25,.685,162,1458,1136,13209.0,6211,4403,1704,104,156,.983,-63,-6
OAK,49,5.84,.660,162,1458,988,13008.0,6223,4336,1765,122,170,.980,-90,-8
PHI,46,5.19,.680,162,1458,1125,12783.0,5916,4261,1547,108,134,.982,11,1
PIT,43,4.69,.675,162,1458,1085,12924.0,6272,4308,1833,131,149,.979,-89,-8
SDP,45,5.50,.672,162,1458,1075,13050.0,6301,4350,1819,132,132,.979,-130,-12
SEA,47,5.14,.678,162,1458,1097,13029.0,6041,4343,1572,126,143,.979,7,1
SFG,42,4.90,.684,162,1458,1086,13014.0,6262,4338,1799,125,157,.980,42,4
STL,51,4.37,.686,162,1458,1006,13101.0,6229,4367,1739,123,156,.980,59,5
TEX,43,5.08,.675,162,1458,1117,12867.0,6076,4289,1666,121,155,.980,21,2
TOR,44,4.28,.687,162,1458,1230,12984.0,5958,4328,1536,94,150,.984,12,1
