Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,33,4.40,.693,52,468,337,4257.0,1933,1419,494,20,38,.990,12,4,21,1
ATL,37,4.60,.703,53,477,386,4272.0,1927,1424,476,27,44,.986,9,2,24,7
BAL,40,6.13,.696,52,468,333,4113.0,1881,1371,474,36,55,.981,8,2,-29,-8
BOS,37,4.67,.696,52,468,379,4194.0,1889,1398,460,31,39,.984,2,1,2,1
CHC,34,4.22,.685,50,450,315,4101.0,1962,1367,556,39,48,.980,8,2,11,3
CHW,35,5.24,.676,51,459,355,3921.0,1784,1307,434,43,50,.976,-16,-5,-24,-1
CIN,30,3.71,.694,51,459,314,4083.0,1848,1361,466,21,45,.989,5,1,21,1
CLE,37,3.88,.700,51,459,360,4026.0,1779,1342,413,24,30,.987,12,3,5,1
COL,36,5.36,.685,50,450,358,4071.0,1911,1357,530,24,49,.987,4,1,-5,0
DET,38,5.38,.690,50,450,377,4029.0,1841,1343,465,33,43,.982,-19,-6,-21,-1
HOU,29,3.51,.734,53,477,367,4194.0,1851,1398,432,21,24,.989,24,7,26,1
KCR,34,5.29,.681,51,459,385,4032.0,1835,1344,473,18,50,.990,2,1,9,0
ANA,37,5.00,.703,51,459,345,4050.0,1801,1350,423,28,32,.984,0,0,-7,-2
LAD,33,3.83,.719,52,468,323,4152.0,1877,1384,468,25,41,.987,22,6,42,2
FLA,33,4.76,.691,49,441,325,3930.0,1796,1310,457,29,51,.984,-10,-3,-5,0
MIL,36,4.72,.698,53,477,353,4332.0,1939,1444,470,25,49,.987,2,1,19,5
MIN,35,4.00,.696,51,459,362,4059.0,1797,1353,418,26,33,.986,21,6,20,6
NYM,41,4.86,.673,51,459,278,4128.0,1857,1376,442,39,43,.979,-31,-9,-35,-10
NYY,40,4.06,.703,51,459,361,4107.0,1839,1369,431,39,37,.979,4,1,-16,-1
OAK,30,4.30,.717,53,477,384,4311.0,1915,1437,452,26,33,.986,1,0,5,1
PHI,35,4.37,.686,52,468,366,4239.0,1954,1413,510,31,45,.984,3,1,-7,-2
PIT,40,5.00,.680,49,441,317,3951.0,1797,1317,445,35,44,.981,-4,-1,-12,-4
SDP,37,4.12,.706,52,468,339,4167.0,1866,1389,447,30,26,.984,2,1,9,0
SEA,46,5.94,.668,54,486,379,4296.0,1984,1432,494,58,48,.971,-34,-9,-46,-2
SFG,39,5.22,.690,51,459,354,4131.0,1876,1377,461,38,36,.980,-3,-1,31,1
STL,33,4.63,.709,51,459,331,4047.0,1870,1349,495,26,53,.986,8,2,4,0
TBD,37,3.18,.716,49,441,329,4011.0,1819,1337,463,19,45,.990,22,6,27,1
TEX,33,5.37,.674,49,441,352,3915.0,1756,1305,424,27,51,.985,-20,-6,-23,-7
TOR,40,4.77,.698,52,468,377,4164.0,1919,1388,493,38,43,.980,6,2,-12,-3
WSN,38,5.17,.667,52,468,380,4110.0,1842,1370,434,38,37,.979,-26,-8,-35,-10
