HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY,HOMETEAM,AWAYTEAM
2.58,0.5869019,1.55,0.1336603,0.0,04,04,MIL,SFG
1.82,0.6555203,2.06,0.10331195,1.0,04,04,BAL,MIN
1.79,0.66258806,2.1,0.096916124,1.0,04,04,TEX,SEA
2.59,0.58576757,1.55,0.13915592,0.0,04,04,ATL,WSN
1.58,0.691659,2.52,0.07503312,1.0,04,04,CIN,PHI
2.68,0.56756383,1.51,0.14483853,0.0,04,04,SDP,LAD
1.84,0.63358945,2.03,0.13948196,0.0,04,04,TBD,TOR
1.53,0.7152133,2.61,0.05417826,0.0,04,04,ARI,COL
2.24,0.5760653,1.7,0.14385825,0.0,04,04,ANA,CHC
2.25,0.63112557,1.71,0.12019906,0.0,04,04,OAK,CHW
2.08,0.63933736,1.82,0.112861946,0.0,04,05,NYY,HOU
1.83,0.6405219,2.06,0.11643455,0.0,04,05,CLE,BOS
2.1,0.5904011,1.79,0.18462412,0.0,04,05,KCR,NYM
1.89,0.6166467,1.97,0.16705734,1.0,04,05,PIT,STL
1.96,0.63364506,1.9,0.13944893,1.0,04,05,TBD,TOR
1.91,0.58951896,1.95,0.18716635,0.0,04,05,TEX,SEA
2.41,0.61055005,1.62,0.14130463,0.0,04,05,MIL,SFG
1.77,0.6704811,2.12,0.106363334,1.0,04,05,ARI,COL
2.1,0.5873932,1.79,0.15825537,0.0,04,05,ANA,CHC
1.97,0.619222,1.87,0.14750847,0.0,04,05,OAK,CHW
2.03,0.60378563,1.84,0.14596458,0.0,04,05,SDP,LAD
2.14,0.59633714,1.77,0.17141968,1.0,04,06,TBD,TOR
2.2,0.6237625,1.72,0.13373846,1.0,04,06,MIL,SFG
2.11,0.6195794,1.78,0.15891692,0.0,04,06,TEX,SEA
1.66,0.66755384,2.32,0.12335778,0.0,04,06,ARI,COL
1.72,0.640718,2.2,0.13661857,1.0,04,06,CLE,BOS
1.76,0.6263546,2.16,0.16436553,1.0,04,06,CIN,PHI
