HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY,HOMETEAM,AWAYTEAM
2.58,0.40653762,1.55,0.571599,0.0,04,04,MIL,SFG
1.82,0.55821514,2.06,0.43947506,1.0,04,04,BAL,MIN
1.79,0.56324804,2.1,0.43409997,1.0,04,04,TEX,SEA
2.59,0.41546208,1.55,0.56512773,0.0,04,04,ATL,WSN
1.58,0.6104814,2.52,0.37949198,1.0,04,04,CIN,PHI
2.68,0.36902073,1.51,0.597421,0.0,04,04,SDP,LAD
1.84,0.5714179,2.03,0.4284143,0.0,04,04,TBD,TOR
1.53,0.6469228,2.61,0.331395,0.0,04,04,ARI,COL
2.24,0.39808118,1.7,0.5776102,0.0,04,04,ANA,CHC
2.25,0.51231253,1.71,0.48511347,0.0,04,04,OAK,CHW
2.08,0.5273154,1.82,0.47083247,0.0,04,05,NYY,HOU
1.83,0.5347545,2.06,0.4635304,0.0,04,05,CLE,BOS
2.1,0.47965345,1.79,0.50567216,0.0,04,05,KCR,NYM
1.89,0.5150814,1.97,0.47353262,1.0,04,05,PIT,STL
1.96,0.5715116,1.9,0.42831174,1.0,04,05,TBD,TOR
1.91,0.47851923,1.95,0.50665355,0.0,04,05,TEX,SEA
2.41,0.5068913,1.62,0.492845,0.0,04,05,MIL,SFG
1.77,0.6125916,2.12,0.380426,1.0,04,05,ARI,COL
2.1,0.47657904,1.79,0.5194207,0.0,04,05,ANA,CHC
1.97,0.54315513,1.87,0.45808372,0.0,04,05,OAK,CHW
2.03,0.49432683,1.84,0.50411606,0.0,04,05,SDP,LAD
2.14,0.5019442,1.77,0.49866536,1.0,04,06,TBD,TOR
2.2,0.5303096,1.72,0.4707962,1.0,04,06,MIL,SFG
2.11,0.5300291,1.78,0.4710137,0.0,04,06,TEX,SEA
1.66,0.60105646,2.32,0.39403862,0.0,04,06,ARI,COL
1.72,0.584518,2.2,0.41380024,1.0,04,06,CLE,BOS
1.76,0.53701776,2.16,0.45206282,1.0,04,06,CIN,PHI
1.85,0.53170145,2.02,0.45738465,1.0,04,06,BAL,MIN
1.79,0.57047004,2.1,0.42944968,1.0,04,06,NYY,HOU
1.92,0.498153,1.94,0.489259,1.0,04,06,PIT,STL
2.71,0.4359571,1.51,0.55198556,0.0,04,06,ATL,WSN
2.28,0.48442632,1.68,0.5127399,0.0,04,06,SDP,LAD
1.77,0.5928237,2.13,0.4042287,1.0,04,06,OAK,CHW
1.78,0.56525046,2.11,0.42243052,1.0,04,07,CIN,PHI
1.85,0.54154265,2.02,0.46095204,0.0,04,07,OAK,CHW
1.9,0.54247934,1.96,0.45864558,1.0,04,07,NYY,HOU
1.71,0.56960493,2.22,0.4176429,0.0,04,07,WSN,FLA
1.82,0.5404441,2.06,0.45529392,1.0,04,07,SFG,LAD
1.73,0.5410224,2.19,0.448002,1.0,04,07,BAL,MIN
2.43,0.45293793,1.58,0.5378114,0.0,04,07,ARI,CHC
1.71,0.57663417,2.23,0.4238391,1.0,04,07,ANA,TEX
1.84,0.54422796,2.04,0.44783887,1.0,04,08,DET,NYY
1.36,0.6793748,3.34,0.28152364,1.0,04,08,NYM,PHI
2.22,0.4842327,1.72,0.5098073,0.0,04,08,CHW,CLE
1.67,0.5500509,2.32,0.44468954,0.0,04,08,COL,SDP
2.14,0.51855516,1.77,0.4737022,1.0,04,08,BAL,TBD
1.61,0.5938049,2.43,0.40267086,0.0,04,08,TOR,BOS
2.27,0.4036357,1.69,0.56639636,0.0,04,08,CIN,PIT
2.4,0.43041536,1.62,0.55397946,0.0,04,08,ATL,STL
2.07,0.49651152,1.81,0.5029956,1.0,04,08,MIL,HOU
1.62,0.5700634,2.4,0.42526093,1.0,04,08,KCR,MIN
2.12,0.52122873,1.78,0.47880727,1.0,04,08,ARI,CHC
1.76,0.5746592,2.15,0.42471138,0.0,04,08,ANA,TEX
1.65,0.6243413,2.35,0.36132416,0.0,04,08,SEA,OAK
1.91,0.51994723,1.96,0.47655994,1.0,04,08,SFG,LAD
1.8,0.5831707,2.08,0.4158696,0.0,04,09,TOR,BOS
2.15,0.44088677,1.76,0.5426893,1.0,04,09,CIN,PIT
1.89,0.51364917,1.97,0.47836798,0.0,04,09,DET,NYY
1.59,0.59466463,2.49,0.40004188,1.0,04,09,CHW,CLE
2.19,0.49828935,1.7,0.4996869,0.0,04,09,SFG,LAD
2.25,0.47626933,1.7,0.5202931,0.0,04,09,ATL,STL
2.33,0.4692494,1.65,0.52464104,0.0,04,09,MIL,HOU
1.61,0.6377684,2.43,0.340306,0.0,04,09,NYM,PHI
1.77,0.5526001,2.12,0.44202888,1.0,04,09,KCR,MIN
1.94,0.55123323,1.91,0.45013797,0.0,04,09,ARI,CHC
1.79,0.58769155,2.1,0.4085258,0.0,04,09,COL,SDP
1.81,0.5419538,2.07,0.4607701,0.0,04,09,ANA,TEX
1.78,0.5716986,2.12,0.42755368,0.0,04,09,SEA,OAK
1.67,0.6063884,2.3,0.38872033,1.0,04,10,TOR,BOS
2.02,0.49574235,1.85,0.50160605,1.0,04,10,CIN,PIT
1.39,0.68922144,3.18,0.26870993,0.0,04,10,NYM,PHI
2.46,0.39045644,1.6,0.58656985,0.0,04,10,ATL,STL
1.98,0.5115073,1.88,0.4802339,1.0,04,10,BAL,TBD
1.65,0.6090792,2.35,0.3813,1.0,04,10,WSN,FLA
2.48,0.4412964,1.58,0.5519111,1.0,04,10,MIL,HOU
1.57,0.59672153,2.52,0.39137655,1.0,04,10,KCR,MIN
1.81,0.57278615,2.08,0.43275133,1.0,04,10,ANA,TEX
1.71,0.57293475,2.22,0.42954522,1.0,04,10,SFG,LAD
2.84,0.37132823,1.45,0.601068,0.0,04,10,ARI,CHC
1.74,0.56122273,2.18,0.44400224,1.0,04,10,COL,SDP
1.63,0.62341034,2.39,0.37234437,0.0,04,10,SEA,OAK
1.61,0.5989048,2.42,0.39240435,0.0,04,11,DET,PIT
1.52,0.6491342,2.68,0.33365387,0.0,04,11,BOS,BAL
1.81,0.5661676,2.07,0.43836883,0.0,04,11,PHI,SDP
2.01,0.51654124,1.86,0.4880402,0.0,04,11,MIN,CHW
1.58,0.6220589,2.52,0.3721919,1.0,04,11,STL,MIL
1.62,0.6155846,2.39,0.3758244,0.0,04,11,NYM,FLA
1.42,0.684383,3.03,0.2699376,1.0,04,11,WSN,ATL
1.52,0.695086,2.67,0.2606248,1.0,04,11,CHC,CIN
1.73,0.5984281,2.21,0.40344825,1.0,04,11,HOU,KCR
1.69,0.5925718,2.23,0.40390697,0.0,04,11,OAK,ANA
1.55,0.6283001,2.52,0.36586574,0.0,04,11,SEA,TEX
1.85,0.5627907,2.02,0.44099697,1.0,04,12,DET,PIT
1.71,0.6149874,2.21,0.3790387,0.0,04,12,LAD,ARI
1.96,0.5072914,1.9,0.4967965,1.0,04,12,PHI,SDP
1.54,0.6407571,2.6,0.33301604,1.0,04,12,WSN,ATL
1.85,0.5378059,2.02,0.46896282,0.0,04,12,TOR,NYY
1.63,0.6492671,2.4,0.33569455,0.0,04,12,BOS,BAL
1.77,0.58469844,2.13,0.41854426,0.0,04,12,NYM,FLA
2.06,0.48398173,1.82,0.5146092,1.0,04,12,TBD,CLE
1.76,0.60426575,2.15,0.39658228,0.0,04,12,HOU,KCR
1.89,0.5204169,1.97,0.48523128,0.0,04,12,COL,SFG
1.88,0.54815286,1.99,0.45582387,0.0,04,12,OAK,ANA
1.77,0.5705995,2.12,0.43491995,0.0,04,12,SEA,TEX
1.84,0.6018036,2.03,0.39946008,1.0,04,13,NYM,FLA
1.94,0.5147304,1.92,0.4888968,0.0,04,13,OAK,ANA
1.69,0.5591893,2.27,0.4455197,1.0,04,13,SEA,TEX
1.82,0.5649435,2.06,0.43826884,1.0,04,13,BOS,BAL
1.85,0.5663046,2.02,0.43669948,1.0,04,13,PHI,SDP
1.77,0.6066369,2.13,0.3923783,0.0,04,13,PIT,DET
1.68,0.64387107,2.29,0.32817492,1.0,04,13,WSN,ATL
1.75,0.58271986,2.14,0.42132807,1.0,04,13,TOR,NYY
1.97,0.5508719,1.89,0.45334733,0.0,04,13,TBD,CLE
1.51,0.6974238,2.69,0.25652015,1.0,04,13,CHC,CIN
1.91,0.5804584,1.95,0.42349848,0.0,04,13,HOU,KCR
1.96,0.54796904,1.9,0.45763543,0.0,04,13,MIN,CHW
1.71,0.63193023,2.23,0.3557727,0.0,04,13,STL,MIL
1.93,0.4586086,1.92,0.53828263,1.0,04,13,COL,SFG
1.61,0.6409637,2.43,0.34761637,1.0,04,13,LAD,ARI
1.69,0.6056017,2.27,0.3943465,0.0,04,14,PIT,DET
1.89,0.55380785,1.98,0.4472091,1.0,04,14,PHI,SDP
1.82,0.55489,2.06,0.4493703,0.0,04,14,MIN,CHW
1.71,0.54264075,2.23,0.4636149,0.0,04,14,TBD,CLE
1.53,0.6700325,2.63,0.30296093,1.0,04,14,STL,MIL
1.89,0.53044736,1.96,0.4756899,1.0,04,14,COL,SFG
1.46,0.67282635,2.91,0.28539065,1.0,04,14,WSN,ATL
1.67,0.59709364,2.31,0.40479985,1.0,04,14,TOR,NYY
1.62,0.64475477,2.42,0.33549705,1.0,04,14,CHC,CIN
1.78,0.6057669,2.11,0.3920066,1.0,04,14,TEX,BAL
1.79,0.5968052,2.1,0.4048408,0.0,04,14,HOU,KCR
1.76,0.6333823,2.13,0.35699353,1.0,04,14,LAD,ARI
1.4,0.67658275,3.11,0.285649,0.0,04,15,CHC,COL
1.72,0.5960279,2.2,0.40319535,0.0,04,15,NYY,SEA
2.26,0.46611035,1.68,0.5264093,0.0,04,15,PHI,WSN
1.71,0.6045106,2.23,0.3948754,0.0,04,15,PIT,MIL
1.83,0.5648912,2.04,0.44022453,1.0,04,15,BOS,TOR
1.85,0.5722764,2.02,0.42877135,0.0,04,15,CLE,NYM
2.0,0.5254155,1.87,0.4806247,0.0,04,15,TBD,CHW
1.97,0.5864753,1.89,0.41519594,0.0,04,15,TEX,BAL
1.5,0.66379786,2.72,0.31833085,1.0,04,15,HOU,DET
2.33,0.51270366,1.66,0.48975033,1.0,04,15,MIN,ANA
1.51,0.6657801,2.67,0.30915305,1.0,04,15,STL,CIN
1.84,0.5575769,2.04,0.4481197,0.0,04,15,OAK,KCR
1.6,0.63774806,2.47,0.35105973,1.0,04,15,LAD,SFG
2.28,0.4554613,1.68,0.54004115,0.0,04,15,SDP,ARI
2.06,0.53202885,1.82,0.4733799,0.0,04,16,NYY,SEA
1.81,0.5269792,2.07,0.47727773,1.0,04,16,MIN,ANA
1.72,0.65159476,2.21,0.32795185,0.0,04,16,STL,CIN
1.32,0.74151295,3.59,0.17670527,1.0,04,16,CHC,COL
1.74,0.59180725,2.18,0.40966383,1.0,04,16,BOS,TOR
1.69,0.5703558,2.29,0.43508363,1.0,04,16,OAK,KCR
2.1,0.5275153,1.79,0.47770837,1.0,04,16,CLE,NYM
1.68,0.5869313,2.32,0.41509637,1.0,04,16,TBD,CHW
2.71,0.41358024,1.5,0.5692046,0.0,04,16,PHI,WSN
1.7,0.6062927,2.25,0.39357996,1.0,04,16,PIT,MIL
1.76,0.57439566,2.15,0.43099213,0.0,04,16,HOU,DET
1.89,0.5439787,1.97,0.46075687,1.0,04,16,TEX,BAL
1.95,0.51359,1.9,0.4912354,1.0,04,16,SDP,ARI
1.92,0.56576884,1.94,0.4370482,0.0,04,16,LAD,SFG
1.75,0.58397824,2.16,0.41959822,1.0,04,17,NYY,SEA
1.64,0.6373993,2.38,0.35101122,0.0,04,17,CLE,NYM
1.93,0.51567507,1.94,0.48923957,1.0,04,17,TBD,CHW
2.22,0.5643881,1.71,0.4382517,0.0,04,17,BOS,TOR
2.27,0.42480844,1.68,0.56088746,1.0,04,17,PHI,WSN
1.78,0.59256035,2.13,0.40909293,1.0,04,17,PIT,MIL
1.79,0.58975023,2.11,0.41346166,1.0,04,17,HOU,DET
1.94,0.55454993,1.92,0.45099258,1.0,04,17,MIN,ANA
1.56,0.65027165,2.55,0.33293512,1.0,04,17,STL,CIN
1.41,0.69209653,3.09,0.2656425,0.0,04,17,CHC,COL
1.96,0.5366509,1.91,0.46971673,1.0,04,17,OAK,KCR
1.9,0.5126604,1.97,0.49173537,0.0,04,17,SDP,ARI
1.68,0.61895883,2.28,0.37569916,1.0,04,17,LAD,SFG
1.9,0.5740032,1.95,0.428523,0.0,04,18,BOS,TOR
2.57,0.45354277,1.55,0.54100454,0.0,04,18,PHI,NYM
1.76,0.57307184,2.15,0.43130818,0.0,04,18,CIN,COL
2.01,0.52201176,1.86,0.48187694,0.0,04,18,STL,CHC
1.81,0.5903965,2.08,0.40867722,0.0,04,18,CHW,ANA
1.71,0.5982214,2.23,0.40162623,1.0,04,18,MIN,MIL
1.67,0.6241189,2.28,0.36964303,0.0,04,18,SFG,ARI
1.56,0.64030296,2.57,0.34476745,0.0,04,19,MIN,MIL
1.64,0.6267641,2.36,0.36551097,1.0,04,19,CLE,SEA
2.15,0.49244225,1.74,0.50838274,0.0,04,19,BAL,TOR
1.6,0.6450779,2.45,0.34302476,0.0,04,19,NYY,OAK
1.99,0.48674318,1.86,0.514277,0.0,04,19,PHI,NYM
2.81,0.4084156,1.45,0.5740154,1.0,04,19,ATL,LAD
1.99,0.5558253,1.87,0.44800514,0.0,04,19,BOS,TBD
1.86,0.50297314,2.0,0.50093335,1.0,04,19,CIN,COL
1.61,0.611684,2.38,0.38449195,1.0,04,19,KCR,DET
1.93,0.5679077,1.9,0.43471467,1.0,04,19,TEX,HOU
1.86,0.5673995,2.0,0.43627918,1.0,04,19,CHW,ANA
1.85,0.578952,2.02,0.42372534,0.0,04,19,STL,CHC
2.36,0.4531381,1.64,0.5437324,1.0,04,19,SDP,PIT
1.82,0.5641614,2.05,0.44065404,0.0,04,19,SFG,ARI
1.77,0.55664766,2.13,0.4492411,1.0,04,20,CIN,COL
1.88,0.5281595,1.98,0.47774985,1.0,04,20,STL,CHC
1.67,0.6106861,2.31,0.38461453,1.0,04,20,CHW,ANA
1.75,0.6009973,2.15,0.39699608,0.0,04,20,CLE,SEA
1.76,0.53666854,2.14,0.46651497,0.0,04,20,KCR,DET
1.84,0.5461168,2.04,0.45865723,1.0,04,20,BAL,TOR
1.68,0.60577345,2.28,0.3943932,0.0,04,20,NYY,OAK
2.42,0.43112645,1.62,0.5595304,1.0,04,20,PHI,NYM
2.31,0.436366,1.66,0.5523591,0.0,04,20,ATL,LAD
1.94,0.59041756,1.92,0.41187125,1.0,04,20,BOS,TBD
1.77,0.603755,2.12,0.39333612,1.0,04,20,TEX,HOU
1.75,0.5732721,2.16,0.42817003,1.0,04,20,MIL,MIN
1.94,0.5162608,1.93,0.48924673,1.0,04,20,SDP,PIT
1.71,0.577625,2.23,0.42561194,0.0,04,20,SFG,ARI
3.41,0.31720704,1.34,0.63181615,0.0,04,21,ATL,LAD
1.99,0.5707579,1.87,0.4334163,0.0,04,21,CLE,SEA
1.63,0.64154416,2.4,0.34741282,0.0,04,21,BOS,TBD
1.91,0.5576282,1.95,0.44588533,0.0,04,21,MIL,MIN
1.93,0.5456464,1.93,0.45697418,0.0,04,21,CHW,ANA
1.56,0.62523085,2.52,0.36914077,0.0,04,21,SFG,ARI
2.06,0.5113853,1.82,0.4917367,1.0,04,21,BAL,TOR
1.78,0.57508236,2.12,0.4291373,0.0,04,21,NYY,OAK
2.76,0.34244817,1.48,0.61879414,0.0,04,21,CIN,CHC
