HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY,HOMETEAM,AWAYTEAM
2.58,0.39463678,1.55,0.60536325,0.0,04,04,MIL,SFG
1.82,0.54337794,2.06,0.456622,1.0,04,04,BAL,MIN
1.79,0.54885304,2.1,0.45114693,1.0,04,04,TEX,SEA
2.59,0.4020741,1.55,0.59792584,0.0,04,04,ATL,WSN
1.58,0.60015684,2.52,0.39984313,1.0,04,04,CIN,PHI
2.68,0.36549848,1.51,0.6345016,0.0,04,04,SDP,LAD
1.84,0.5507126,2.03,0.44928747,0.0,04,04,TBD,TOR
1.53,0.6385429,2.61,0.36145708,0.0,04,04,ARI,COL
2.24,0.38776886,1.7,0.6122312,0.0,04,04,ANA,CHC
2.25,0.4942936,1.71,0.5057064,0.0,04,04,OAK,CHW
2.08,0.51010466,1.82,0.48989537,0.0,04,05,NYY,HOU
1.83,0.51804227,2.06,0.48195773,0.0,04,05,CLE,BOS
2.1,0.4468168,1.79,0.55318326,0.0,04,05,KCR,NYM
1.89,0.48157027,1.97,0.5184297,1.0,04,05,PIT,STL
1.96,0.5508038,1.9,0.44919622,1.0,04,05,TBD,TOR
1.91,0.44575354,1.95,0.5542464,0.0,04,05,TEX,SEA
2.41,0.48877805,1.62,0.51122195,0.0,04,05,MIL,SFG
1.77,0.59066504,2.12,0.40933493,1.0,04,05,ARI,COL
2.1,0.46092564,1.79,0.5390744,0.0,04,05,ANA,CHC
1.97,0.5233017,1.87,0.4766983,0.0,04,05,OAK,CHW
2.03,0.47709888,1.84,0.5229011,0.0,04,05,SDP,LAD
2.14,0.47720996,1.77,0.5227901,1.0,04,06,TBD,TOR
2.2,0.5109589,1.72,0.48904106,1.0,04,06,MIL,SFG
2.11,0.5035588,1.78,0.49644116,0.0,04,06,TEX,SEA
1.66,0.58134717,2.32,0.41865286,0.0,04,06,ARI,COL
1.72,0.5634608,2.2,0.43653914,1.0,04,06,CLE,BOS
1.76,0.5044577,2.16,0.49554226,1.0,04,06,CIN,PHI
1.85,0.49882516,2.02,0.5011748,1.0,04,06,BAL,MIN
1.79,0.54979014,2.1,0.45020983,1.0,04,06,NYY,HOU
1.92,0.46460006,1.94,0.5353999,1.0,04,06,PIT,STL
2.71,0.42562822,1.51,0.57437176,0.0,04,06,ATL,WSN
2.28,0.46802655,1.68,0.5319734,0.0,04,06,SDP,LAD
1.77,0.5715347,2.13,0.42846534,1.0,04,06,OAK,CHW
1.78,0.5351437,2.11,0.4648564,1.0,04,07,CIN,PHI
1.85,0.51804435,2.02,0.48195568,0.0,04,07,OAK,CHW
1.9,0.5169535,1.96,0.4830465,1.0,04,07,NYY,HOU
1.71,0.53997326,2.22,0.46002674,0.0,04,07,WSN,FLA
1.82,0.5133714,2.06,0.48662862,1.0,04,07,SFG,LAD
1.73,0.50873405,2.19,0.49126598,1.0,04,07,BAL,MIN
2.43,0.43367177,1.58,0.5663282,0.0,04,07,ARI,CHC
1.71,0.5607925,2.23,0.43920746,1.0,04,07,ANA,TEX
1.84,0.5126577,2.04,0.48734224,1.0,04,08,DET,NYY
1.36,0.6693085,3.34,0.33069146,1.0,04,08,NYM,PHI
2.22,0.45306915,1.72,0.54693085,0.0,04,08,CHW,CLE
1.67,0.52376556,2.32,0.47623447,0.0,04,08,COL,SDP
2.14,0.4850536,1.77,0.51494634,1.0,04,08,BAL,TBD
1.61,0.57335263,2.43,0.42664737,0.0,04,08,TOR,BOS
2.27,0.38548386,1.69,0.6145162,0.0,04,08,CIN,PIT
2.4,0.414968,1.62,0.585032,0.0,04,08,ATL,STL
2.07,0.47099477,1.81,0.5290052,1.0,04,08,MIL,HOU
1.62,0.5489533,2.4,0.4510467,1.0,04,08,KCR,MIN
2.12,0.49891353,1.78,0.5010865,1.0,04,08,ARI,CHC
1.76,0.55543107,2.15,0.44456896,0.0,04,08,ANA,TEX
1.65,0.6067998,2.35,0.39320025,0.0,04,08,SEA,OAK
1.91,0.49025738,1.96,0.5097427,1.0,04,08,SFG,LAD
1.8,0.5617587,2.08,0.4382413,0.0,04,09,TOR,BOS
2.15,0.41741818,1.76,0.5825819,1.0,04,09,CIN,PIT
1.89,0.47999278,1.97,0.5200072,0.0,04,09,DET,NYY
1.59,0.57235616,2.49,0.42764384,1.0,04,09,CHW,CLE
2.19,0.45996898,1.7,0.5400311,0.0,04,09,SFG,LAD
2.25,0.4570536,1.7,0.54294634,0.0,04,09,ATL,STL
2.33,0.44126806,1.65,0.5587319,0.0,04,09,MIL,HOU
1.61,0.62276846,2.43,0.3772315,0.0,04,09,NYM,PHI
1.77,0.5265977,2.12,0.4734023,1.0,04,09,KCR,MIN
1.94,0.527367,1.91,0.4726331,0.0,04,09,ARI,CHC
1.79,0.5678269,2.1,0.4321731,0.0,04,09,COL,SDP
1.81,0.5200894,2.07,0.47991058,0.0,04,09,ANA,TEX
1.78,0.5492963,2.12,0.45070365,0.0,04,09,SEA,OAK
1.67,0.58631355,2.3,0.41368642,1.0,04,10,TOR,BOS
2.02,0.46085903,1.85,0.539141,1.0,04,10,CIN,PIT
1.39,0.67758906,3.18,0.32241094,0.0,04,10,NYM,PHI
2.46,0.3819913,1.6,0.61800873,0.0,04,10,ATL,STL
1.98,0.47755623,1.88,0.5224438,1.0,04,10,BAL,TBD
1.65,0.5893033,2.35,0.4106967,1.0,04,10,WSN,FLA
2.48,0.4122071,1.58,0.5877929,1.0,04,10,MIL,HOU
1.57,0.5750097,2.52,0.4249904,1.0,04,10,KCR,MIN
1.81,0.5545787,2.08,0.44542125,1.0,04,10,ANA,TEX
1.71,0.5462292,2.22,0.4537708,1.0,04,10,SFG,LAD
2.84,0.36343098,1.45,0.6365691,0.0,04,10,ARI,CHC
1.74,0.537265,2.18,0.46273497,1.0,04,10,COL,SDP
1.63,0.60871404,2.39,0.3912859,0.0,04,10,SEA,OAK
1.61,0.5754711,2.42,0.42452884,0.0,04,11,DET,PIT
1.52,0.630854,2.68,0.369146,0.0,04,11,BOS,BAL
1.81,0.54401755,2.07,0.45598242,0.0,04,11,PHI,SDP
2.01,0.5013804,1.86,0.49861965,0.0,04,11,MIN,CHW
1.58,0.60499287,2.52,0.3950071,1.0,04,11,STL,MIL
1.62,0.60016036,2.39,0.39983964,0.0,04,11,NYM,FLA
1.42,0.67159015,3.03,0.32840985,1.0,04,11,WSN,ATL
1.52,0.6786188,2.67,0.3213812,1.0,04,11,CHC,CIN
1.73,0.58055276,2.21,0.41944727,1.0,04,11,HOU,KCR
1.69,0.5656769,2.23,0.434323,0.0,04,11,OAK,ANA
1.55,0.6144671,2.52,0.38553295,0.0,04,11,SEA,TEX
1.85,0.53565574,2.02,0.4643442,1.0,04,12,DET,PIT
1.71,0.59634286,2.21,0.40365717,0.0,04,12,LAD,ARI
1.96,0.48155868,1.9,0.5184413,1.0,04,12,PHI,SDP
1.54,0.616719,2.6,0.38328093,1.0,04,12,WSN,ATL
1.85,0.51474345,2.02,0.48525655,0.0,04,12,TOR,NYY
1.63,0.63022286,2.4,0.3697771,0.0,04,12,BOS,BAL
1.77,0.5650895,2.13,0.43491042,0.0,04,12,NYM,FLA
2.06,0.45868924,1.82,0.5413107,1.0,04,12,TBD,CLE
1.76,0.5861661,2.15,0.41383386,0.0,04,12,HOU,KCR
1.89,0.49282742,1.97,0.5071726,0.0,04,12,COL,SFG
1.88,0.519924,1.99,0.48007601,0.0,04,12,OAK,ANA
1.77,0.5526021,2.12,0.44739786,0.0,04,12,SEA,TEX
1.84,0.58651453,2.03,0.4134854,1.0,04,13,NYM,FLA
1.94,0.48398376,1.92,0.5160162,0.0,04,13,OAK,ANA
1.69,0.54318124,2.27,0.45681876,1.0,04,13,SEA,TEX
1.82,0.54472405,2.06,0.45527586,1.0,04,13,BOS,BAL
1.85,0.54259104,2.02,0.45740902,1.0,04,13,PHI,SDP
1.77,0.5868203,2.13,0.41317967,0.0,04,13,PIT,DET
1.68,0.6198517,2.29,0.38014835,1.0,04,13,WSN,ATL
1.75,0.5648517,2.14,0.43514827,1.0,04,13,TOR,NYY
1.97,0.5222219,1.89,0.4777781,0.0,04,13,TBD,CLE
1.51,0.6823754,2.69,0.3176247,1.0,04,13,CHC,CIN
1.91,0.5614209,1.95,0.43857908,0.0,04,13,HOU,KCR
1.96,0.5322005,1.9,0.46779957,0.0,04,13,MIN,CHW
1.71,0.61333495,2.23,0.38666505,0.0,04,13,STL,MIL
1.93,0.43443945,1.92,0.56556046,1.0,04,13,COL,SFG
1.61,0.6275971,2.43,0.3724029,1.0,04,13,LAD,ARI
1.69,0.58633244,2.27,0.41366753,0.0,04,14,PIT,DET
1.89,0.5223811,1.98,0.47761887,1.0,04,14,PHI,SDP
1.82,0.54026216,2.06,0.45973787,0.0,04,14,MIN,CHW
1.71,0.5184634,2.23,0.48153666,0.0,04,14,TBD,CLE
1.53,0.6569701,2.63,0.34302992,1.0,04,14,STL,MIL
1.89,0.5034471,1.96,0.49655288,1.0,04,14,COL,SFG
