HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY
2.58,0.00041604412,1.55,0.999584,0.0,04,04
1.82,0.9928141,2.06,0.007185844,1.0,04,04
1.79,0.9914008,2.1,0.008599207,1.0,04,04
2.59,0.00020643881,1.55,0.9997936,0.0,04,04
1.58,0.99601513,2.52,0.003984879,1.0,04,04
2.68,1.1003429e-05,1.51,0.99998903,0.0,04,04
1.84,0.006852226,2.03,0.9931478,0.0,04,04
1.53,0.0007214909,2.61,0.9992785,0.0,04,04
2.24,7.511937e-05,1.7,0.9999249,0.0,04,04
2.25,0.0010026151,1.71,0.9989974,0.0,04,04
2.08,6.501378e-05,1.82,0.99993503,0.0,04,05
1.83,0.0009003099,2.06,0.99909973,0.0,04,05
2.1,0.49496695,1.79,0.50503296,0.0,04,05
1.89,0.97822034,1.97,0.021779735,1.0,04,05
1.96,0.38835457,1.9,0.6116454,1.0,04,05
1.91,0.5520295,1.95,0.44797045,0.0,04,05
2.41,0.0008433424,1.62,0.9991567,0.0,04,05
1.77,0.51130456,2.12,0.48869547,1.0,04,05
2.1,0.000108199674,1.79,0.99989176,0.0,04,05
1.97,0.00092289475,1.87,0.9990771,0.0,04,05
2.03,2.3127806e-05,1.84,0.9999769,0.0,04,05
2.14,0.4710312,1.77,0.5289688,1.0,04,06
2.2,0.3822605,1.72,0.6177395,1.0,04,06
2.11,0.38009605,1.78,0.619904,0.0,04,06
1.66,0.37112513,2.32,0.62887496,0.0,04,06
1.72,0.5144311,2.2,0.48556888,1.0,04,06
1.76,0.9950293,2.16,0.0049707615,1.0,04,06
1.85,0.993269,2.02,0.006730954,1.0,04,06
1.79,0.56860274,2.1,0.43139726,1.0,04,06
1.92,0.97671616,1.94,0.02328382,1.0,04,06
2.71,0.00015260397,1.51,0.9998474,0.0,04,06
2.28,2.0977974e-05,1.68,0.999979,0.0,04,06
1.77,0.39455304,2.13,0.60544693,1.0,04,06
1.78,0.9957846,2.11,0.004215418,1.0,04,07
1.85,0.307864,2.02,0.692136,0.0,04,07
1.9,0.74407274,1.96,0.25592732,1.0,04,07
1.71,0.000996006,2.22,0.99900407,0.0,04,07
1.82,0.43158773,2.06,0.5684123,1.0,04,07
1.73,0.9936046,2.19,0.006395435,1.0,04,07
2.43,0.01047208,1.58,0.9895279,0.0,04,07
1.71,0.46939513,2.23,0.5306049,1.0,04,07
1.84,0.5714859,2.04,0.42851412,1.0,04,08
1.36,0.94986796,3.34,0.050132032,1.0,04,08
2.22,0.311687,1.72,0.68831307,0.0,04,08
1.67,0.042344347,2.32,0.95765567,0.0,04,08
2.14,0.8732181,1.77,0.12678197,1.0,04,08
1.61,0.43553147,2.43,0.56446856,0.0,04,08
2.27,0.8262717,1.69,0.17372826,0.0,04,08
2.4,0.4012976,1.62,0.5987024,0.0,04,08
2.07,0.6899796,1.81,0.31002042,1.0,04,08
1.62,0.9500443,2.4,0.049955755,1.0,04,08
2.12,0.33781457,1.78,0.66218543,1.0,04,08
1.76,0.40225133,2.15,0.5977487,0.0,04,08
1.65,0.3324518,2.35,0.6675482,0.0,04,08
1.91,0.52119774,1.96,0.4788022,1.0,04,08
1.8,0.37933475,2.08,0.62066525,0.0,04,09
2.15,0.87987846,1.76,0.12012158,1.0,04,09
1.89,0.4524195,1.97,0.5475805,0.0,04,09
1.59,0.48859307,2.49,0.51140696,1.0,04,09
2.19,0.41659993,1.7,0.58340013,0.0,04,09
2.25,0.33734965,1.7,0.6626503,0.0,04,09
2.33,0.539809,1.65,0.46019098,0.0,04,09
1.61,0.7850346,2.43,0.21496546,0.0,04,09
1.77,0.9692947,2.12,0.030705262,1.0,04,09
1.94,0.29203334,1.91,0.7079666,0.0,04,09
1.79,0.025915276,2.1,0.9740847,0.0,04,09
1.81,0.30494857,2.07,0.6950514,0.0,04,09
1.78,0.22028069,2.12,0.77971923,0.0,04,09
1.67,0.4648757,2.3,0.53512424,1.0,04,10
2.02,0.85789675,1.85,0.14210327,1.0,04,10
1.39,0.6815861,3.18,0.31841388,0.0,04,10
2.46,0.22212802,1.6,0.77787197,0.0,04,10
1.98,0.8978548,1.88,0.102145195,1.0,04,10
1.65,0.35115415,2.35,0.6488459,1.0,04,10
2.48,0.56611574,1.58,0.4338843,1.0,04,10
1.57,0.9836707,2.52,0.01632924,1.0,04,10
1.81,0.43118754,2.08,0.56881243,1.0,04,10
1.71,0.487542,2.22,0.512458,1.0,04,10
2.84,0.058822975,1.45,0.941177,0.0,04,10
1.74,0.3055237,2.18,0.6944763,1.0,04,10
1.63,0.15296805,2.39,0.84703195,0.0,04,10
1.61,0.5542078,2.42,0.4457922,0.0,04,11
1.52,0.61550635,2.68,0.38449368,0.0,04,11
1.81,0.39855066,2.07,0.6014493,0.0,04,11
2.01,0.43574598,1.86,0.56425405,0.0,04,11
1.58,0.6022204,2.52,0.3977795,1.0,04,11
1.62,0.37439278,2.39,0.6256072,0.0,04,11
1.42,0.4317421,3.03,0.5682579,1.0,04,11
1.52,0.6478369,2.67,0.35216305,1.0,04,11
1.73,0.8410306,2.21,0.15896946,1.0,04,11
1.69,0.09783122,2.23,0.90216875,0.0,04,11
1.55,0.312013,2.52,0.687987,0.0,04,11
1.85,0.58809924,2.02,0.41190076,1.0,04,12
1.71,0.34567967,2.21,0.65432036,0.0,04,12
1.96,0.4755349,1.9,0.5244651,1.0,04,12
1.54,0.47589913,2.6,0.5241009,1.0,04,12
1.85,0.45675436,2.02,0.5432456,0.0,04,12
1.63,0.5367729,2.4,0.46322703,0.0,04,12
1.77,0.25554594,2.13,0.744454,0.0,04,12
2.06,0.668363,1.82,0.33163705,1.0,04,12
1.76,0.7095337,2.15,0.29046634,0.0,04,12
1.89,0.4030658,1.97,0.5969342,0.0,04,12
1.88,0.04483271,1.99,0.9551673,0.0,04,12
1.77,0.22895092,2.12,0.77104914,0.0,04,12
1.84,0.4179976,2.03,0.5820024,1.0,04,13
1.94,0.02169496,1.92,0.9783051,0.0,04,13
1.69,0.35386968,2.27,0.6461303,1.0,04,13
1.82,0.57683045,2.06,0.42316955,1.0,04,13
1.85,0.5713891,2.02,0.4286109,1.0,04,13
1.77,0.46520278,2.13,0.53479725,0.0,04,13
1.68,0.53877795,2.29,0.461222,1.0,04,13
1.75,0.53354126,2.14,0.46645877,1.0,04,13
1.97,0.49223197,1.89,0.5077681,0.0,04,13
1.51,0.6999869,2.69,0.30001307,1.0,04,13
1.91,0.60426164,1.95,0.3957383,0.0,04,13
1.96,0.41303447,1.9,0.5869655,0.0,04,13
1.71,0.52747303,2.23,0.472527,0.0,04,13
1.93,0.44494778,1.92,0.55505216,1.0,04,13
1.61,0.45056862,2.43,0.5494313,1.0,04,13
1.69,0.43149596,2.27,0.56850404,0.0,04,14
1.89,0.60877854,1.98,0.3912214,1.0,04,14
1.82,0.4025961,2.06,0.5974039,0.0,04,14
1.71,0.44638526,2.23,0.5536148,0.0,04,14
1.53,0.63194764,2.63,0.36805233,1.0,04,14
1.89,0.48624554,1.96,0.5137545,1.0,04,14
1.46,0.5962412,2.91,0.4037588,1.0,04,14
1.67,0.5830603,2.31,0.41693965,1.0,04,14
1.62,0.7026272,2.42,0.2973729,1.0,04,14
1.78,0.6416662,2.11,0.3583338,1.0,04,14
1.79,0.55556303,2.1,0.44443697,0.0,04,14
1.76,0.5001198,2.13,0.4998802,1.0,04,14
1.4,0.4483818,3.11,0.5516182,0.0,04,15
1.72,0.4015093,2.2,0.59849066,0.0,04,15
2.26,0.47330445,1.68,0.5266956,0.0,04,15
1.71,0.5105143,2.23,0.48948574,0.0,04,15
1.83,0.47195932,2.04,0.52804065,1.0,04,15
1.85,0.3975902,2.02,0.6024098,0.0,04,15
2.0,0.36035216,1.87,0.63964784,0.0,04,15
1.97,0.55598265,1.89,0.44401732,0.0,04,15
1.5,0.4583953,2.72,0.5416047,1.0,04,15
2.33,0.3927586,1.66,0.60724133,1.0,04,15
1.51,0.746957,2.67,0.25304297,1.0,04,15
1.84,0.28660077,2.04,0.7133993,0.0,04,15
1.6,0.54283404,2.47,0.45716593,1.0,04,15
2.28,0.14135759,1.68,0.8586424,0.0,04,15
2.06,0.33285758,1.82,0.66714245,0.0,04,16
1.81,0.43407148,2.07,0.56592846,1.0,04,16
1.72,0.62989354,2.21,0.37010643,0.0,04,16
1.32,0.53198576,3.59,0.46801418,1.0,04,16
1.74,0.5033758,2.18,0.4966242,1.0,04,16
1.69,0.39660722,2.29,0.6033928,1.0,04,16
2.1,0.42839092,1.79,0.5716091,1.0,04,16
1.68,0.4264308,2.32,0.57356924,1.0,04,16
2.71,0.4377624,1.5,0.5622376,0.0,04,16
1.7,0.5751217,2.25,0.42487824,1.0,04,16
1.76,0.39055803,2.15,0.609442,0.0,04,16
1.89,0.5979631,1.97,0.40203696,1.0,04,16
1.95,0.29695535,1.9,0.70304465,1.0,04,16
1.92,0.4580452,1.94,0.5419549,0.0,04,16
1.75,0.42545637,2.16,0.5745436,1.0,04,17
1.64,0.42704025,2.38,0.5729598,0.0,04,17
1.93,0.43421686,1.94,0.5657832,1.0,04,17
2.22,0.4626898,1.71,0.5373102,0.0,04,17
2.27,0.46695253,1.68,0.53304744,1.0,04,17
1.78,0.5950637,2.13,0.4049363,1.0,04,17
1.79,0.43899792,2.11,0.561002,1.0,04,17
1.94,0.4745176,1.92,0.5254824,1.0,04,17
1.56,0.6730071,2.55,0.3269929,1.0,04,17
1.41,0.4568257,3.09,0.5431743,0.0,04,17
1.96,0.43162003,1.91,0.56838,1.0,04,17
1.9,0.22871211,1.97,0.77128786,0.0,04,17
1.68,0.5211263,2.28,0.47887376,1.0,04,17
1.9,0.448313,1.95,0.551687,0.0,04,18
2.57,0.41051456,1.55,0.5894854,0.0,04,18
1.76,0.5213948,2.15,0.47860515,0.0,04,18
2.01,0.3757621,1.86,0.62423795,0.0,04,18
1.81,0.404771,2.08,0.595229,0.0,04,18
1.71,0.6187683,2.23,0.38123173,1.0,04,18
1.67,0.5040405,2.28,0.49595952,0.0,04,18
1.56,0.54734546,2.57,0.4526545,0.0,04,19
1.64,0.44413403,2.36,0.5558659,1.0,04,19
2.15,0.45777223,1.74,0.5422278,0.0,04,19
1.6,0.42241627,2.45,0.57758373,0.0,04,19
1.99,0.40714002,1.86,0.59286,0.0,04,19
2.81,0.40844867,1.45,0.5915513,1.0,04,19
1.99,0.48335633,1.87,0.5166437,0.0,04,19
1.86,0.54421973,2.0,0.45578036,1.0,04,19
1.61,0.49030954,2.38,0.5096905,1.0,04,19
1.93,0.55943304,1.9,0.44056693,1.0,04,19
1.86,0.43984634,2.0,0.5601537,1.0,04,19
1.85,0.37701136,2.02,0.62298864,0.0,04,19
2.36,0.46479887,1.64,0.5352011,1.0,04,19
1.82,0.46029818,2.05,0.5397018,0.0,04,19
1.77,0.5909898,2.13,0.4090101,1.0,04,20
1.88,0.40359718,1.98,0.5964029,1.0,04,20
1.67,0.4737258,2.31,0.52627414,1.0,04,20
1.75,0.38314146,2.15,0.6168585,0.0,04,20
1.76,0.42670032,2.14,0.57329965,0.0,04,20
1.84,0.49501926,2.04,0.5049807,1.0,04,20
1.68,0.39001015,2.28,0.6099898,0.0,04,20
2.42,0.43489057,1.62,0.56510943,1.0,04,20
2.31,0.39171317,1.66,0.6082868,0.0,04,20
1.94,0.55209035,1.92,0.44790962,1.0,04,20
1.77,0.5882803,2.12,0.41171965,1.0,04,20
1.75,0.7013548,2.16,0.2986452,1.0,04,20
1.94,0.50939584,1.93,0.49060422,1.0,04,20
1.71,0.4565371,2.23,0.5434629,0.0,04,20
