HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY,HOMETEAM,AWAYTEAM
1.26,1.0,4.08,3.6755914e-11,1.0,03,28,NYY,BAL
1.8,7.7765864e-14,2.09,1.0,0.0,03,28,WSN,NYM
1.85,0.9999999,2.01,7.302272e-08,1.0,03,28,MIL,STL
1.54,1.0,2.61,1.0196568e-08,1.0,03,28,PHI,ATL
1.68,3.107136e-11,2.27,1.0,0.0,03,28,TOR,DET
1.59,1.0,2.46,1.4645746e-08,1.0,03,28,LAD,ARI
2.14,2.077852e-15,1.75,1.0,0.0,03,28,TBD,HOU
1.98,8.8194833e-16,1.88,1.0,0.0,03,28,TEX,CHC
1.96,0.8010192,1.89,0.19898082,1.0,03,28,OAK,ANA
1.87,0.9999999,1.99,9.682947e-08,1.0,03,28,CIN,PIT
2.19,4.2680232e-19,1.73,1.0,0.0,03,28,FLA,COL
1.85,0.99999964,2.02,3.6119792e-07,1.0,03,28,MIN,CLE
1.75,0.9999999,2.14,8.5529e-08,1.0,03,28,SDP,SFG
1.83,0.9999999,2.04,6.192891e-08,1.0,03,28,KCR,CHW
2.77,0.6541681,1.48,0.34583187,1.0,03,28,SEA,BOS
1.8,0.79656154,2.07,0.20343848,1.0,03,30,TOR,DET
2.42,0.2623602,1.61,0.7376398,1.0,03,30,FLA,COL
2.23,0.67940843,1.7,0.3205916,1.0,03,30,TBD,HOU
1.97,0.7736719,1.9,0.2263281,1.0,03,30,MIL,STL
1.25,0.49144903,4.26,0.508551,0.0,03,31,NYY,BAL
1.76,0.6010909,2.13,0.3989091,0.0,03,31,TOR,DET
2.12,0.4830807,1.77,0.5169194,1.0,03,31,FLA,COL
2.02,0.8352462,1.85,0.16475381,1.0,03,31,TBD,HOU
1.83,0.38219577,2.04,0.6178042,1.0,03,31,WSN,NYM
1.74,0.8735517,2.18,0.12644827,1.0,03,31,MIL,STL
2.06,0.68795645,1.82,0.31204352,1.0,03,31,MIN,CLE
1.74,0.75095814,2.16,0.2490419,0.0,03,31,KCR,CHW
2.41,0.6784003,1.62,0.32159972,1.0,03,31,TEX,CHC
1.94,0.69461477,1.92,0.30538523,1.0,03,31,OAK,ANA
1.57,0.97129065,2.52,0.028709399,1.0,03,31,LAD,ARI
1.62,0.91273254,2.39,0.0872675,1.0,03,31,SDP,SFG
2.21,0.64138746,1.72,0.3586125,1.0,03,31,SEA,BOS
1.69,0.9999999,2.26,7.11355e-08,1.0,03,31,PHI,ATL
1.8,0.5037757,2.09,0.49622428,0.0,04,01,PIT,STL
1.62,0.99644333,2.4,0.0035567214,1.0,04,01,CLE,CHW
1.45,0.68498063,2.87,0.31501934,1.0,04,01,NYY,DET
1.98,0.47216073,1.88,0.5278393,0.0,04,01,CIN,MIL
1.9,0.9998135,1.96,0.00018657644,1.0,04,01,ATL,CHC
1.55,0.39321813,2.55,0.6067819,0.0,04,01,TOR,BAL
2.15,0.25842327,1.75,0.74157673,0.0,04,01,FLA,NYM
1.67,0.82409483,2.3,0.17590518,1.0,04,01,TBD,COL
1.45,0.617016,2.9,0.38298395,0.0,04,02,NYY,DET
2.0,0.37136552,1.87,0.6286345,0.0,04,02,CIN,MIL
1.54,0.6113719,2.58,0.38862807,0.0,04,02,WSN,PHI
1.56,0.36868933,2.55,0.63131064,0.0,04,02,TOR,BAL
2.23,0.056362815,1.7,0.9436372,0.0,04,02,FLA,NYM
1.57,0.96960896,2.51,0.030391062,1.0,04,02,TBD,COL
2.52,0.52979946,1.57,0.4702006,1.0,04,02,TEX,HOU
2.21,0.5781057,1.72,0.42189428,1.0,04,02,OAK,BOS
1.49,0.80090725,2.72,0.1990928,1.0,04,02,LAD,SFG
1.57,0.29911873,2.52,0.70088124,0.0,04,02,SDP,ARI
1.92,0.7999309,1.95,0.20006911,1.0,04,02,SEA,ANA
1.79,0.35921264,2.11,0.6407874,0.0,04,03,CIN,MIL
2.19,0.6031188,1.72,0.39688122,1.0,04,03,WSN,PHI
1.52,0.72548175,2.65,0.2745183,0.0,04,03,CLE,CHW
