HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY,HOMETEAM,AWAYTEAM
1.26,0.9929797,4.08,0.007020367,1.0,03,28,NYY,BAL
1.8,0.023235355,2.09,0.9767646,0.0,03,28,WSN,NYM
1.85,0.9840762,2.01,0.015923847,1.0,03,28,MIL,STL
1.54,0.98721224,2.61,0.012787768,1.0,03,28,PHI,ATL
1.68,0.030535266,2.27,0.9694648,0.0,03,28,TOR,DET
1.59,0.9866916,2.46,0.01330847,1.0,03,28,LAD,ARI
2.14,0.019899609,1.75,0.98010045,0.0,03,28,TBD,HOU
1.98,0.019194337,1.88,0.98080564,0.0,03,28,TEX,CHC
1.96,0.863906,1.89,0.13609394,1.0,03,28,OAK,ANA
1.87,0.98356056,1.99,0.01643947,1.0,03,28,CIN,PIT
2.19,0.013959668,1.73,0.98604035,0.0,03,28,FLA,COL
1.85,0.9809101,2.02,0.019089898,1.0,03,28,MIN,CLE
1.75,0.9837894,2.14,0.016210558,1.0,03,28,SDP,SFG
1.83,0.9843693,2.04,0.015630702,1.0,03,28,KCR,CHW
2.77,0.7447259,1.48,0.2552741,1.0,03,28,SEA,BOS
1.8,0.86157036,2.07,0.1384297,1.0,03,30,TOR,DET
2.42,0.17269619,1.61,0.8273039,1.0,03,30,FLA,COL
2.23,0.76997286,1.7,0.23002717,1.0,03,30,TBD,HOU
1.97,0.8451832,1.9,0.15481679,1.0,03,30,MIL,STL
1.25,0.4531534,4.26,0.5468466,0.0,03,31,NYY,BAL
1.76,0.65944135,2.13,0.34055862,0.0,03,31,TOR,DET
2.12,0.46500215,1.77,0.53499776,1.0,03,31,FLA,COL
2.02,0.88129747,1.85,0.118702486,1.0,03,31,TBD,HOU
1.83,0.27242246,2.04,0.7275775,1.0,03,31,WSN,NYM
1.74,0.9046102,2.18,0.09538982,1.0,03,31,MIL,STL
2.06,0.78394866,1.82,0.21605134,1.0,03,31,MIN,CLE
1.74,0.83380824,2.16,0.16619174,0.0,03,31,KCR,CHW
2.41,0.7754091,1.62,0.22459096,1.0,03,31,TEX,CHC
1.94,0.79910654,1.92,0.20089352,1.0,03,31,OAK,ANA
1.57,0.9487257,2.52,0.051274296,1.0,03,31,LAD,ARI
1.62,0.92078185,2.39,0.07921819,1.0,03,31,SDP,SFG
