HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY
1.26,0.9918697,4.08,0.008130352,1.0,03,28
1.8,0.03018399,2.09,0.969816,0.0,03,28
1.85,0.984055,2.01,0.01594502,1.0,03,28
1.54,0.98385054,2.61,0.016149456,1.0,03,28
1.68,0.028637838,2.27,0.9713622,0.0,03,28
1.59,0.9822505,2.46,0.017749539,1.0,03,28
2.14,0.013166,1.75,0.986834,0.0,03,28
1.98,0.02063727,1.88,0.9793627,0.0,03,28
1.96,0.8150438,1.89,0.18495618,1.0,03,28
1.87,0.9806669,1.99,0.01933315,1.0,03,28
2.19,0.009877229,1.73,0.99012274,0.0,03,28
1.85,0.9842048,2.02,0.015795203,1.0,03,28
1.75,0.9835789,2.14,0.01642106,1.0,03,28
1.83,0.98163617,2.04,0.018363904,1.0,03,28
2.77,0.720325,1.48,0.27967504,1.0,03,28
1.8,0.86484665,2.07,0.1351533,1.0,03,30
2.42,0.115296654,1.61,0.8847034,1.0,03,30
2.23,0.667874,1.7,0.33212605,1.0,03,30
1.97,0.84468746,1.9,0.15531254,1.0,03,30
1.25,0.4152835,4.26,0.5847165,0.0,03,31
1.76,0.6483358,2.13,0.3516642,0.0,03,31
2.12,0.34199765,1.77,0.6580023,1.0,03,31
2.02,0.81198215,1.85,0.18801786,1.0,03,31
1.83,0.29956448,2.04,0.70043546,1.0,03,31
1.74,0.90632707,2.18,0.093672946,1.0,03,31
2.06,0.8227958,1.82,0.17720418,1.0,03,31
1.74,0.8255762,2.16,0.17442378,0.0,03,31
2.41,0.7765383,1.62,0.2234617,1.0,03,31
1.94,0.7444393,1.92,0.25556067,1.0,03,31
1.57,0.92473644,2.52,0.07526359,1.0,03,31
1.62,0.92271525,2.39,0.0772848,1.0,03,31
2.21,0.69457334,1.72,0.30542666,1.0,03,31
1.69,0.9821322,2.26,0.01786784,1.0,03,31
1.8,0.45709217,2.09,0.54290783,0.0,04,01
1.62,0.92559785,2.4,0.07440218,1.0,04,01
1.45,0.7998561,2.87,0.20014389,1.0,04,01
1.98,0.40664372,1.88,0.59335625,0.0,04,01
1.9,0.94125956,1.96,0.0587404,1.0,04,01
1.55,0.26058587,2.55,0.7394141,0.0,04,01
2.15,0.1325433,1.75,0.8674567,0.0,04,01
1.67,0.8462439,2.3,0.15375607,1.0,04,01
1.45,0.66531456,2.9,0.3346854,0.0,04,02
2.0,0.23344384,1.87,0.76655614,0.0,04,02
1.54,0.66308784,2.58,0.33691218,0.0,04,02
1.56,0.19159067,2.55,0.80840933,0.0,04,02
2.23,0.08452147,1.7,0.91547847,0.0,04,02
1.57,0.8814525,2.51,0.11854748,1.0,04,02
2.52,0.574123,1.57,0.425877,1.0,04,02
2.21,0.8024141,1.72,0.19758593,1.0,04,02
1.49,0.9042148,2.72,0.09578515,1.0,04,02
1.57,0.47016114,2.52,0.52983886,0.0,04,02
1.92,0.8817249,1.95,0.118275106,1.0,04,02
1.79,0.17784126,2.11,0.82215875,0.0,04,03
2.19,0.7157664,1.72,0.28423363,1.0,04,03
1.52,0.7929751,2.65,0.20702492,0.0,04,03
1.78,0.7409131,2.1,0.2590869,0.0,04,03
2.29,0.18727922,1.67,0.8127208,0.0,04,03
1.83,0.6085635,2.05,0.39143658,1.0,04,03
1.55,0.5142688,2.57,0.48573115,0.0,04,03
1.65,0.3724853,2.32,0.62751466,1.0,04,03
2.79,0.042908646,1.48,0.95709133,0.0,04,03
1.74,0.9580188,2.16,0.04198122,1.0,04,03
1.92,0.28183076,1.94,0.7181693,0.0,04,03
2.93,0.7193232,1.44,0.28067672,1.0,04,03
2.49,0.6627069,1.58,0.33729312,0.0,04,03
1.62,0.9332453,2.41,0.066754736,1.0,04,03
1.96,0.50561357,1.9,0.49438643,1.0,04,04
1.75,0.10790436,2.15,0.8920956,0.0,04,04
2.9,0.07445976,1.45,0.9255402,0.0,04,04
2.23,0.73788476,1.7,0.26211524,1.0,04,04
1.49,0.7900585,2.73,0.2099415,1.0,04,04
1.94,0.31776738,1.92,0.6822326,1.0,04,04
1.82,0.9592312,2.06,0.04076878,1.0,04,04
2.1,0.7011968,1.78,0.29880324,1.0,04,05
2.16,0.579442,1.74,0.42055795,0.0,04,05
1.53,0.5391225,2.61,0.46087748,0.0,04,05
2.04,0.65000474,1.83,0.34999526,0.0,04,05
1.62,0.79172826,2.38,0.20827176,1.0,04,05
1.71,0.5174215,2.21,0.48257852,1.0,04,05
2.12,0.81732213,1.77,0.18267784,1.0,04,05
1.69,0.80504304,2.25,0.19495697,1.0,04,05
1.59,0.9225708,2.45,0.07742923,1.0,04,05
1.62,0.77175003,2.4,0.22824992,1.0,04,05
1.77,0.6332191,2.11,0.3667809,1.0,04,06
