HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY
1.26,0.9930796,4.08,0.006920446,1.0,03,28
1.8,0.049663395,2.09,0.95033664,0.0,03,28
1.85,0.992515,2.01,0.007484997,1.0,03,28
1.54,0.99025273,2.61,0.009747264,1.0,03,28
1.68,0.03013318,2.27,0.9698668,0.0,03,28
1.59,0.99126947,2.46,0.0087305615,1.0,03,28
2.14,0.023414006,1.75,0.976586,0.0,03,28
1.98,0.043630753,1.88,0.9563692,0.0,03,28
1.96,0.8966118,1.89,0.10338812,1.0,03,28
1.87,0.99109054,1.99,0.008909489,1.0,03,28
2.19,0.014664717,1.73,0.98533535,0.0,03,28
1.85,0.9904199,2.02,0.009580058,1.0,03,28
1.75,0.99215955,2.14,0.007840461,1.0,03,28
1.83,0.98852086,2.04,0.011479165,1.0,03,28
2.77,0.8170035,1.48,0.18299645,1.0,03,28
1.8,0.89697623,2.07,0.10302377,1.0,03,30
2.42,0.1682664,1.61,0.8317336,1.0,03,30
2.23,0.78472733,1.7,0.21527272,1.0,03,30
1.97,0.9053141,1.9,0.094685875,1.0,03,30
1.25,0.46457767,4.26,0.5354223,0.0,03,31
1.76,0.7019069,2.13,0.29809314,0.0,03,31
2.12,0.44918713,1.77,0.5508129,1.0,03,31
2.02,0.8863653,1.85,0.11363475,1.0,03,31
1.83,0.39350393,2.04,0.60649604,1.0,03,31
1.74,0.9471861,2.18,0.05281385,1.0,03,31
2.06,0.8582438,1.82,0.14175624,1.0,03,31
1.74,0.8795312,2.16,0.12046881,0.0,03,31
2.41,0.83883464,1.62,0.16116533,1.0,03,31
1.94,0.8470619,1.92,0.1529381,1.0,03,31
1.57,0.9583372,2.52,0.04166288,1.0,03,31
1.62,0.9541424,2.39,0.045857638,1.0,03,31
2.21,0.79382706,1.72,0.20617296,1.0,03,31
1.69,0.989237,2.26,0.010762989,1.0,03,31
1.8,0.5879436,2.09,0.41205645,0.0,04,01
1.62,0.9556942,2.4,0.044305734,1.0,04,01
1.45,0.83053863,2.87,0.16946141,1.0,04,01
1.98,0.5600519,1.88,0.43994802,0.0,04,01
1.9,0.9669367,1.96,0.033063285,1.0,04,01
1.55,0.34243897,2.55,0.657561,0.0,04,01
2.15,0.16436109,1.75,0.83563894,0.0,04,01
1.67,0.9026965,2.3,0.097303495,1.0,04,01
1.45,0.7050655,2.9,0.29493454,0.0,04,02
2.0,0.353514,1.87,0.64648604,0.0,04,02
1.54,0.7614622,2.58,0.2385378,0.0,04,02
1.56,0.26542118,2.55,0.7345788,0.0,04,02
2.23,0.1076874,1.7,0.89231265,0.0,04,02
1.57,0.89357966,2.51,0.10642028,1.0,04,02
2.52,0.67105395,1.57,0.32894605,1.0,04,02
2.21,0.8292407,1.72,0.17075929,1.0,04,02
1.49,0.9088215,2.72,0.091178484,1.0,04,02
1.57,0.42477256,2.52,0.57522744,0.0,04,02
1.92,0.87044436,1.95,0.12955567,1.0,04,02
1.79,0.28183028,2.11,0.71816975,0.0,04,03
2.19,0.8097697,1.72,0.19023038,1.0,04,03
1.52,0.8706638,2.65,0.12933618,0.0,04,03
1.78,0.7288715,2.1,0.27112848,0.0,04,03
2.29,0.2969555,1.67,0.70304453,0.0,04,03
1.83,0.6208315,2.05,0.37916848,1.0,04,03
1.55,0.40594813,2.57,0.5940519,0.0,04,03
1.65,0.39110973,2.32,0.60889024,1.0,04,03
2.79,0.04780369,1.48,0.95219636,0.0,04,03
1.74,0.9760684,2.16,0.023931587,1.0,04,03
1.92,0.36030108,1.94,0.63969886,0.0,04,03
2.93,0.70300144,1.44,0.29699856,1.0,04,03
2.49,0.7066831,1.58,0.29331693,0.0,04,03
1.62,0.9392033,2.41,0.06079665,1.0,04,03
1.96,0.5324406,1.9,0.46755943,1.0,04,04
1.75,0.14447123,2.15,0.85552883,0.0,04,04
2.9,0.112207785,1.45,0.88779217,0.0,04,04
2.23,0.77289337,1.7,0.22710666,1.0,04,04
1.49,0.80621105,2.73,0.19378893,1.0,04,04
1.94,0.30572358,1.92,0.69427633,1.0,04,04
1.82,0.95954597,2.06,0.040454045,1.0,04,04
2.1,0.78875566,1.78,0.21124437,1.0,04,05
2.16,0.5167088,1.74,0.48329124,0.0,04,05
1.53,0.49738857,2.61,0.50261146,0.0,04,05
2.04,0.63372624,1.83,0.36627367,0.0,04,05
1.62,0.824407,2.38,0.17559305,1.0,04,05
1.71,0.44289327,2.21,0.5571067,1.0,04,05
2.12,0.8121332,1.77,0.18786685,1.0,04,05
1.69,0.8439515,2.25,0.15604845,1.0,04,05
1.59,0.9053156,2.45,0.094684444,1.0,04,05
1.62,0.7504711,2.4,0.24952886,1.0,04,05
1.77,0.6760921,2.11,0.32390788,1.0,04,06
2.15,0.23420708,1.75,0.76579297,1.0,04,06
1.85,0.5956905,2.01,0.40430945,1.0,04,06
1.64,0.6904136,2.35,0.30958638,0.0,04,06
1.94,0.61454636,1.91,0.3854537,0.0,04,06
1.82,0.36478898,2.06,0.635211,0.0,04,06
1.85,0.78505355,2.01,0.2149464,1.0,04,06
2.15,0.69664586,1.76,0.30335414,1.0,04,06
1.49,0.8806375,2.74,0.11936242,1.0,04,06
2.59,0.08335315,1.54,0.9166469,0.0,04,06
1.59,0.8922649,2.44,0.107735135,1.0,04,06
1.77,0.6466143,2.13,0.3533856,0.0,04,06
1.56,0.817666,2.53,0.18233399,0.0,04,06
2.58,0.07555981,1.54,0.9244402,0.0,04,07
1.74,0.7684474,2.16,0.23155257,1.0,04,07
1.58,0.89611983,2.49,0.10388021,1.0,04,07
1.97,0.7288717,1.89,0.27112824,1.0,04,07
2.16,0.17573993,1.75,0.8242601,0.0,04,07
1.58,0.8829452,2.48,0.117054805,1.0,04,07
1.64,0.6415893,2.34,0.35841075,1.0,04,07
1.86,0.5408479,2.0,0.45915207,0.0,04,07
1.53,0.91012317,2.62,0.08987683,1.0,04,07
1.91,0.76265204,1.95,0.23734799,1.0,04,07
1.82,0.5351584,2.05,0.46484154,1.0,04,07
2.03,0.5583196,1.84,0.44168034,0.0,04,07
1.79,0.81453925,2.08,0.18546076,1.0,04,07
2.17,0.7736912,1.74,0.22630885,0.0,04,07
2.05,0.35194558,1.81,0.6480544,0.0,04,07
2.49,0.41930443,1.58,0.5806956,0.0,04,08
1.74,0.8822365,2.18,0.11776353,1.0,04,08
1.65,0.7473184,2.33,0.25268158,1.0,04,08
2.38,0.3943623,1.63,0.6056377,1.0,04,08
1.68,0.67955965,2.28,0.32044038,1.0,04,08
1.9,0.46010858,1.6,0.5398915,1.0,04,08
2.21,0.6480513,1.71,0.3519487,0.0,04,09
1.36,0.8396651,3.27,0.16033491,0.0,04,09
2.48,0.37901786,1.58,0.6209821,0.0,04,09
1.52,0.75346124,2.64,0.24653871,1.0,04,09
2.57,0.2979473,1.55,0.7020528,0.0,04,09
1.69,0.5506679,2.25,0.4493321,0.0,04,09
1.39,0.28878555,3.19,0.7112144,0.0,04,09
2.04,0.4968925,1.84,0.50310755,1.0,04,09
